occupation_code,occupation_title,ai_exposure,occ_clean
29-1127,Speech-Language Pathologists,1.146267,speech language pathologists
29-1128,Exercise Physiologists,-0.0331901,exercise physiologists
29-1131,Veterinarians,-0.0749958,veterinarians
29-1141,Registered Nurses,0.2294097,registered nurses
29-1151,Nurse Anesthetists,0.2413191,nurse anesthetists
29-1161,Nurse Midwives,0.1966265,nurse midwives
29-1171,Nurse Practitioners,0.1900572,nurse practitioners
29-1181,Audiologists,0.6329063,audiologists
29-1199,"Health Diagnosing and Treating Practitioners, All Other",0.7109566,health diagnosing treating practitioners all other
29-2011,Medical and Clinical Laboratory Technologists,0.2818067,medical clinical laboratory technologists
29-2012,Medical and Clinical Laboratory Technicians,-0.1273315,medical clinical laboratory technicians
29-2021,Dental Hygienists,-0.416508,dental hygienists
29-2031,Cardiovascular Technologists and Technicians,-0.0909526,cardiovascular technologists technicians
29-2032,Diagnostic Medical Sonographers,-0.264054,diagnostic medical sonographers
29-2033,Nuclear Medicine Technologists,0.0855276,nuclear medicine technologists
29-2034,Radiologic Technologists and Technicians,-0.5559037,radiologic technologists technicians
29-2035,Magnetic Resonance Imaging Technologists,-0.0727627,magnetic resonance imaging technologists
29-2041,Emergency Medical Technicians and Paramedics,-0.6863446,emergency medical technicians paramedics
29-2051,Dietetic Technicians,-0.1260282,dietetic technicians
29-2052,Pharmacy Technicians,0.0070256,pharmacy technicians
29-2053,Psychiatric Technicians,-0.2203484,psychiatric technicians
29-2054,Respiratory Therapy Technicians,-0.1060473,respiratory therapy technicians
29-2055,Surgical Technologists,-0.4830476,surgical technologists
29-2056,Veterinary Technologists and Technicians,-0.3623179,veterinary technologists technicians
29-2057,Ophthalmic Medical Technicians,0.078734,ophthalmic medical technicians
29-2061,Licensed Practical and Licensed Vocational Nurses,-0.5137373,licensed practical licensed vocational nurses
29-2071,Medical Records and Health Information Technicians,0.5738765,medical records health information technicians
29-2081,"Opticians, Dispensing",0.1013966,opticians dispensing
29-2091,Orthotists and Prosthetists,0.066577,orthotists prosthetists
29-2092,Hearing Aid Specialists,0.5648953,hearing aid specialists
29-2099,"Health Technologists and Technicians, All Other",-0.283854,health technologists technicians all other
29-9011,Occupational Health and Safety Specialists,0.8349371,occupational health safety specialists
29-9012,Occupational Health and Safety Technicians,0.3996866,occupational health safety technicians
29-9091,Athletic Trainers,-0.3311363,athletic trainers
29-9092,Genetic Counselors,1.527667,genetic counselors
29-9099,"Healthcare Practitioners and Technical Workers, All Other",0.2295568,healthcare practitioners technical workers all other
31-1011,Home Health Aides,-0.644942,home health aides
31-1013,Psychiatric Aides,-0.496565,psychiatric aides
31-1014,Nursing Assistants,-0.9040212,nursing assistants
31-1015,Orderlies,-1.679232,orderlies
31-2011,Occupational Therapist Assistants,-0.3153762,occupational therapist assistants
31-2012,Occupational Therapist Aides,-0.7734322,occupational therapist aides
31-2021,Physical Therapist Assistants,-0.5308535,physical therapist assistants
31-2022,Physical Therapist Aides,-0.8823265,physical therapist aides
31-9011,Massage Therapists,-1.410233,massage therapists
31-9091,Dental Assistants,-0.5268759,dental assistants
31-9092,Medical Assistants,0.1497917,medical assistants
31-9093,Medical Equipment Preparers,-0.7308648,medical equipment preparers
31-9094,Medical Transcriptionists,1.06259,medical transcriptionists
31-9095,Pharmacy Aides,-0.1552654,pharmacy aides
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,-0.7735824,veterinary assistants laboratory animal caretakers
31-9097,Phlebotomists,-0.2778475,phlebotomists
31-9099,"Healthcare Support Workers, All Other",0.1660077,healthcare support workers all other
33-1011,First-Line Supervisors/Managers of Correctional Officers,-0.5584278,first line supervisors/managers of correctional officers
33-1012,First-Line Supervisors/Managers of Police and Detectives,-0.1923298,first line supervisors/managers of police detectives
33-1021,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,-0.593021,first line supervisors/managers of fire fighting prevention workers
33-2011,Fire Fighters,-1.320232,fire fighters
33-2021,Fire Inspectors and Investigators,0.062793,fire inspectors investigators
33-2022,Forest Fire Inspectors and Prevention Specialists,-0.2144127,forest fire inspectors prevention specialists
33-3011,Bailiffs,-0.5103183,bailiffs
33-3012,Correctional Officers and Jailers,-0.8875365,correctional officers jailers
33-3021,Detectives and Criminal Investigators,0.2257696,detectives criminal investigators
33-3031,Fish and Game Wardens,-0.4585168,fish game wardens
33-3041,Parking Enforcement Workers,-0.6239931,parking enforcement workers
33-3051,Police and Sheriff's Patrol Officers,-0.6681123,police sheriff's patrol officers
33-3052,Transit and Railroad Police,-0.8205515,transit railroad police
33-9011,Animal Control Workers,-0.5946321,animal control workers
33-9021,Private Detectives and Investigators,0.7483108,private detectives investigators
33-9031,Gaming Surveillance Officers and Gaming Investigators,0.7283933,gaming surveillance officers gaming investigators
33-9032,Security Guards,-0.3908421,security guards
33-9091,Crossing Guards,-0.5699511,crossing guards
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",-0.4718385,lifeguards ski patrol other recreational protective service workers
33-9093,Transportation Security Screeners,-0.5068558,transportation security screeners
33-9099,"Protective Service Workers, All Other",0.0764088,protective service workers all other
35-1011,Chefs and Head Cooks,-0.2676433,chefs head cooks
35-1012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,-0.2575492,first line supervisors/managers of food preparation serving workers
35-2011,"Cooks, Fast Food",-0.7131837,cooks fast food
35-2012,"Cooks, Institution and Cafeteria",-0.6360813,cooks institution cafeteria
35-2013,"Cooks, Private Household",-0.7867444,cooks private household
35-2014,"Cooks, Restaurant",-0.7418264,cooks restaurant
35-2015,"Cooks, Short Order",-0.5933817,cooks short order
35-2021,Food Preparation Workers,-1.226416,food preparation workers
35-3011,Bartenders,-0.6159883,bartenders
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",-0.5305266,combined food preparation serving workers including fast food
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",-0.4850956,counter attendants cafeteria food concession coffee shop
35-3031,Waiters and Waitresses,-0.9481003,waiters waitresses
35-3041,"Food Servers, Nonrestaurant",-0.7270206,food servers nonrestaurant
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,-1.927078,dining room cafeteria attendants bartender helpers
35-9021,Dishwashers,-1.738612,dishwashers
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",-0.0565477,hosts hostesses restaurant lounge coffee shop
37-1011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,-0.5854128,first line supervisors/managers of housekeeping janitorial workers
37-1012,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",-0.5548871,first line supervisors/managers of landscaping lawn service groundskeeping workers
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.436201,janitors cleaners except maids housekeeping cleaners
37-2012,Maids and Housekeeping Cleaners,-1.480657,maids housekeeping cleaners
37-2021,Pest Control Workers,-0.7255374,pest control workers
37-3011,Landscaping and Groundskeeping Workers,-1.824293,landscaping groundskeeping workers
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-0.8847935,pesticide handlers sprayers applicators vegetation
37-3013,Tree Trimmers and Pruners,-1.727035,tree trimmers pruners
39-1011,Gaming Supervisors,1.128203,gaming supervisors
39-1012,Slot Key Persons,-0.1370162,slot key persons
39-1021,First-Line Supervisors/Managers of Personal Service Workers,0.4303075,first line supervisors/managers of personal service workers
39-2011,Animal Trainers,-0.9167759,animal trainers
