occupation_code,occupation_name,weekly_pay,year,occ_clean
25-3030,"Substitute Teachers, Short-Term",37380.0,2023,substitute teachers short term
25-3031,"Substitute Teachers, Short-Term",37380.0,2023,substitute teachers short term
25-3040,Tutors,39580.0,2023,tutors
25-3041,Tutors,39580.0,2023,tutors
25-3090,Miscellaneous Teachers and Instructors,64390.0,2023,miscellaneous teachers instructors
25-3099,"Teachers and Instructors, All Other",64390.0,2023,teachers instructors all other
25-4000,"Librarians, Curators, and Archivists",55460.0,2023,librarians curators archivists
25-4010,"Archivists, Curators, and Museum Technicians",57120.0,2023,archivists curators museum technicians
25-4011,Archivists,59910.0,2023,archivists
25-4012,Curators,61750.0,2023,curators
25-4013,Museum Technicians and Conservators,48670.0,2023,museum technicians conservators
25-4020,Librarians and Media Collections Specialists,64370.0,2023,librarians media collections specialists
25-4022,Librarians and Media Collections Specialists,64370.0,2023,librarians media collections specialists
25-4030,Library Technicians,39310.0,2023,library technicians
25-4031,Library Technicians,39310.0,2023,library technicians
25-9000,Other Educational Instruction and Library Occupations,37330.0,2023,other educational instruction library occupations
25-9020,Farm and Home Management Educators,59770.0,2023,farm home management educators
25-9021,Farm and Home Management Educators,59770.0,2023,farm home management educators
25-9030,Instructional Coordinators,74620.0,2023,instructional coordinators
25-9031,Instructional Coordinators,74620.0,2023,instructional coordinators
25-9040,Teaching Assistants,35930.0,2023,teaching assistants
25-9044,"Teaching Assistants, Postsecondary",43750.0,2023,teaching assistants postsecondary
25-9045,"Teaching Assistants, Except Postsecondary",35550.0,2023,teaching assistants except postsecondary
25-9090,Miscellaneous Educational Instruction and Library Workers,49800.0,2023,miscellaneous educational instruction library workers
25-9099,"Educational Instruction and Library Workers, All Other",49800.0,2023,educational instruction library workers all other
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",58920.0,2023,arts design entertainment sports media occupations
27-1000,Art and Design Workers,51660.0,2023,art design workers
27-1010,Artists and Related Workers,96130.0,2023,artists related workers
27-1011,Art Directors,106500.0,2023,art directors
27-1012,Craft Artists,36600.0,2023,craft artists
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",59300.0,2023,fine artists including painters sculptors illustrators
27-1014,Special Effects Artists and Animators,99060.0,2023,special effects artists animators
27-1019,"Artists and Related Workers, All Other",74750.0,2023,artists related workers all other
27-1020,Designers,47670.0,2023,designers
27-1021,Commercial and Industrial Designers,76250.0,2023,commercial industrial designers
27-1022,Fashion Designers,79290.0,2023,fashion designers
27-1023,Floral Designers,34690.0,2023,floral designers
27-1024,Graphic Designers,58910.0,2023,graphic designers
27-1025,Interior Designers,62510.0,2023,interior designers
27-1026,Merchandise Displayers and Window Trimmers,36230.0,2023,merchandise displayers window trimmers
27-1027,Set and Exhibit Designers,59490.0,2023,set exhibit designers
27-1029,"Designers, All Other",67500.0,2023,designers all other
27-2000,"Entertainers and Performers, Sports and Related Workers",53360.0,2023,entertainers performers sports related workers
27-2010,"Actors, Producers, and Directors",76000.0,2023,actors producers directors
27-2012,Producers and Directors,82510.0,2023,producers directors
27-2020,"Athletes, Coaches, Umpires, and Related Workers",45860.0,2023,athletes coaches umpires related workers
27-2021,Athletes and Sports Competitors,70280.0,2023,athletes sports competitors
27-2022,Coaches and Scouts,45910.0,2023,coaches scouts
27-2023,"Umpires, Referees, and Other Sports Officials",35820.0,2023,umpires referees other sports officials
27-2030,Dancers and Choreographers,51900.0,2023,dancers choreographers
27-2032,Choreographers,52000.0,2023,choreographers
27-2041,Music Directors and Composers,62590.0,2023,music directors composers
27-3000,Media and Communication Workers,66320.0,2023,media communication workers
27-3010,Broadcast Announcers and Radio Disc Jockeys,44890.0,2023,broadcast announcers radio disc jockeys
27-3011,Broadcast Announcers and Radio Disc Jockeys,44890.0,2023,broadcast announcers radio disc jockeys
27-3020,"News Analysts, Reporters and Journalists",57500.0,2023,news analysts reporters journalists
27-3023,"News Analysts, Reporters, and Journalists",57500.0,2023,news analysts reporters journalists
27-3030,Public Relations Specialists,66750.0,2023,public relations specialists
27-3031,Public Relations Specialists,66750.0,2023,public relations specialists
27-3040,Writers and Editors,76020.0,2023,writers editors
27-3041,Editors,75020.0,2023,editors
27-3042,Technical Writers,80050.0,2023,technical writers
27-3043,Writers and Authors,73690.0,2023,writers authors
27-3090,Miscellaneous Media and Communication Workers,60440.0,2023,miscellaneous media communication workers
27-3091,Interpreters and Translators,57090.0,2023,interpreters translators
27-3092,Court Reporters and Simultaneous Captioners,63940.0,2023,court reporters simultaneous captioners
27-3099,"Media and Communication Workers, All Other",61900.0,2023,media communication workers all other
27-4000,Media and Communication Equipment Workers,53850.0,2023,media communication equipment workers
27-4010,"Broadcast, Sound, and Lighting Technicians",54160.0,2023,broadcast sound lighting technicians
27-4011,Audio and Video Technicians,51640.0,2023,audio video technicians
27-4012,Broadcast Technicians,57690.0,2023,broadcast technicians
27-4014,Sound Engineering Technicians,59430.0,2023,sound engineering technicians
27-4015,Lighting Technicians,62240.0,2023,lighting technicians
27-4020,Photographers,40760.0,2023,photographers
27-4021,Photographers,40760.0,2023,photographers
27-4030,"Television, Video, and Film Camera Operators and Editors",65070.0,2023,television video film camera operators editors
27-4031,"Camera Operators, Television, Video, and Film",61800.0,2023,camera operators television video film
27-4032,Film and Video Editors,66600.0,2023,film video editors
27-4090,Miscellaneous Media and Communication Equipment Workers,71340.0,2023,miscellaneous media communication equipment workers
27-4099,"Media and Communication Equipment Workers, All Other",71340.0,2023,media communication equipment workers all other
29-0000,Healthcare Practitioners and Technical Occupations,80820.0,2023,healthcare practitioners technical occupations
29-1000,Healthcare Diagnosing or Treating Practitioners,98760.0,2023,healthcare diagnosing or treating practitioners
29-1010,Chiropractors,76530.0,2023,chiropractors
29-1011,Chiropractors,76530.0,2023,chiropractors
29-1020,Dentists,170910.0,2023,dentists
29-1021,"Dentists, General",166300.0,2023,dentists general
29-1024,Prosthodontists,234000.0,2023,prosthodontists
29-1029,"Dentists, All Other Specialists",227690.0,2023,dentists all other specialists
29-1030,Dietitians and Nutritionists,69680.0,2023,dietitians nutritionists
29-1031,Dietitians and Nutritionists,69680.0,2023,dietitians nutritionists
29-1040,Optometrists,131860.0,2023,optometrists
29-1041,Optometrists,131860.0,2023,optometrists
29-1050,Pharmacists,136030.0,2023,pharmacists
29-1051,Pharmacists,136030.0,2023,pharmacists
29-1070,Physician Assistants,130020.0,2023,physician assistants
29-1071,Physician Assistants,130020.0,2023,physician assistants
29-1080,Podiatrists,141650.0,2023,podiatrists
29-1081,Podiatrists,141650.0,2023,podiatrists
