occupation_code,occupation_name,employment,year,occ_clean
27-1029,"Designers, All Other",9880.0,2023,designers all other
27-2000,"Entertainers and Performers, Sports and Related Workers",569670.0,2023,entertainers performers sports related workers
27-2010,"Actors, Producers, and Directors",217020.0,2023,actors producers directors
27-2011,Actors,62560.0,2023,actors
27-2012,Producers and Directors,154470.0,2023,producers directors
27-2020,"Athletes, Coaches, Umpires, and Related Workers",268750.0,2023,athletes coaches umpires related workers
27-2021,Athletes and Sports Competitors,14930.0,2023,athletes sports competitors
27-2022,Coaches and Scouts,238980.0,2023,coaches scouts
27-2023,"Umpires, Referees, and Other Sports Officials",14840.0,2023,umpires referees other sports officials
27-2030,Dancers and Choreographers,15700.0,2023,dancers choreographers
27-2031,Dancers,11510.0,2023,dancers
27-2032,Choreographers,4190.0,2023,choreographers
27-2040,"Musicians, Singers, and Related Workers",46280.0,2023,musicians singers related workers
27-2041,Music Directors and Composers,10770.0,2023,music directors composers
27-2042,Musicians and Singers,35520.0,2023,musicians singers
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",21910.0,2023,miscellaneous entertainers performers sports related workers
27-2091,"Disc Jockeys, Except Radio",7190.0,2023,disc jockeys except radio
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",14720.0,2023,entertainers performers sports related workers all other
27-3000,Media and Communication Workers,625940.0,2023,media communication workers
27-3010,Broadcast Announcers and Radio Disc Jockeys,25070.0,2023,broadcast announcers radio disc jockeys
27-3011,Broadcast Announcers and Radio Disc Jockeys,25070.0,2023,broadcast announcers radio disc jockeys
27-3020,"News Analysts, Reporters and Journalists",45020.0,2023,news analysts reporters journalists
27-3023,"News Analysts, Reporters, and Journalists",45020.0,2023,news analysts reporters journalists
27-3030,Public Relations Specialists,275550.0,2023,public relations specialists
27-3031,Public Relations Specialists,275550.0,2023,public relations specialists
27-3040,Writers and Editors,193130.0,2023,writers editors
27-3041,Editors,95700.0,2023,editors
27-3042,Technical Writers,47970.0,2023,technical writers
27-3043,Writers and Authors,49450.0,2023,writers authors
27-3090,Miscellaneous Media and Communication Workers,87180.0,2023,miscellaneous media communication workers
27-3091,Interpreters and Translators,51560.0,2023,interpreters translators
27-3092,Court Reporters and Simultaneous Captioners,12390.0,2023,court reporters simultaneous captioners
27-3099,"Media and Communication Workers, All Other",23230.0,2023,media communication workers all other
27-4000,Media and Communication Equipment Workers,235240.0,2023,media communication equipment workers
27-4010,"Broadcast, Sound, and Lighting Technicians",117010.0,2023,broadcast sound lighting technicians
27-4011,Audio and Video Technicians,66700.0,2023,audio video technicians
27-4012,Broadcast Technicians,26190.0,2023,broadcast technicians
27-4014,Sound Engineering Technicians,14600.0,2023,sound engineering technicians
27-4015,Lighting Technicians,9520.0,2023,lighting technicians
27-4020,Photographers,53630.0,2023,photographers
27-4021,Photographers,53630.0,2023,photographers
27-4030,"Television, Video, and Film Camera Operators and Editors",53180.0,2023,television video film camera operators editors
27-4031,"Camera Operators, Television, Video, and Film",23940.0,2023,camera operators television video film
27-4032,Film and Video Editors,29240.0,2023,film video editors
27-4090,Miscellaneous Media and Communication Equipment Workers,11430.0,2023,miscellaneous media communication equipment workers
27-4099,"Media and Communication Equipment Workers, All Other",11430.0,2023,media communication equipment workers all other
29-0000,Healthcare Practitioners and Technical Occupations,9284210.0,2023,healthcare practitioners technical occupations
29-1000,Healthcare Diagnosing or Treating Practitioners,6151910.0,2023,healthcare diagnosing or treating practitioners
29-1010,Chiropractors,41480.0,2023,chiropractors
29-1011,Chiropractors,41480.0,2023,chiropractors
29-1020,Dentists,138680.0,2023,dentists
29-1021,"Dentists, General",121640.0,2023,dentists general
29-1022,Oral and Maxillofacial Surgeons,4160.0,2023,oral maxillofacial surgeons
29-1023,Orthodontists,6400.0,2023,orthodontists
29-1024,Prosthodontists,570.0,2023,prosthodontists
29-1029,"Dentists, All Other Specialists",5920.0,2023,dentists all other specialists
29-1030,Dietitians and Nutritionists,73860.0,2023,dietitians nutritionists
29-1031,Dietitians and Nutritionists,73860.0,2023,dietitians nutritionists
29-1040,Optometrists,41390.0,2023,optometrists
29-1041,Optometrists,41390.0,2023,optometrists
29-1050,Pharmacists,331700.0,2023,pharmacists
29-1051,Pharmacists,331700.0,2023,pharmacists
29-1070,Physician Assistants,145740.0,2023,physician assistants
29-1071,Physician Assistants,145740.0,2023,physician assistants
29-1080,Podiatrists,9470.0,2023,podiatrists
29-1081,Podiatrists,9470.0,2023,podiatrists
29-1120,Therapists,744240.0,2023,therapists
29-1122,Occupational Therapists,144840.0,2023,occupational therapists
29-1123,Physical Therapists,240820.0,2023,physical therapists
29-1124,Radiation Therapists,16640.0,2023,radiation therapists
29-1125,Recreational Therapists,15540.0,2023,recreational therapists
29-1126,Respiratory Therapists,129750.0,2023,respiratory therapists
29-1127,Speech-Language Pathologists,172100.0,2023,speech language pathologists
29-1128,Exercise Physiologists,8060.0,2023,exercise physiologists
29-1129,"Therapists, All Other",16490.0,2023,therapists all other
29-1130,Veterinarians,78220.0,2023,veterinarians
29-1131,Veterinarians,78220.0,2023,veterinarians
29-1140,Registered Nurses,3175390.0,2023,registered nurses
29-1141,Registered Nurses,3175390.0,2023,registered nurses
29-1150,Nurse Anesthetists,47810.0,2023,nurse anesthetists
29-1151,Nurse Anesthetists,47810.0,2023,nurse anesthetists
29-1160,Nurse Midwives,6960.0,2023,nurse midwives
29-1161,Nurse Midwives,6960.0,2023,nurse midwives
29-1170,Nurse Practitioners,280140.0,2023,nurse practitioners
29-1171,Nurse Practitioners,280140.0,2023,nurse practitioners
29-1180,Audiologists,13880.0,2023,audiologists
29-1181,Audiologists,13880.0,2023,audiologists
29-1210,Physicians,716950.0,2023,physicians
29-1211,Anesthesiologists,33470.0,2023,anesthesiologists
29-1212,Cardiologists,15190.0,2023,cardiologists
29-1213,Dermatologists,12040.0,2023,dermatologists
29-1214,Emergency Medicine Physicians,35100.0,2023,emergency medicine physicians
29-1215,Family Medicine Physicians,112010.0,2023,family medicine physicians
29-1216,General Internal Medicine Physicians,67210.0,2023,general internal medicine physicians
29-1217,Neurologists,9350.0,2023,neurologists
29-1218,Obstetricians and Gynecologists,19820.0,2023,obstetricians gynecologists
29-1221,"Pediatricians, General",34870.0,2023,pediatricians general
29-1222,"Physicians, Pathologists",11020.0,2023,physicians pathologists
29-1223,Psychiatrists,24830.0,2023,psychiatrists
29-1224,Radiologists,31960.0,2023,radiologists
29-1229,"Physicians, All Other",310080.0,2023,physicians all other
29-1240,Surgeons,53900.0,2023,surgeons
29-1241,"Ophthalmologists, Except Pediatric",11530.0,2023,ophthalmologists except pediatric
29-1242,"Orthopedic Surgeons, Except Pediatric",14820.0,2023,orthopedic surgeons except pediatric
29-1243,Pediatric Surgeons,1180.0,2023,pediatric surgeons
29-1249,"Surgeons, All Other",26370.0,2023,surgeons all other
29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,252100.0,2023,miscellaneous healthcare diagnosing or treating practitioners
29-1291,Acupuncturists,9370.0,2023,acupuncturists
29-1292,Dental Hygienists,211630.0,2023,dental hygienists
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",31100.0,2023,healthcare diagnosing or treating practitioners all other
29-2000,Health Technologists and Technicians,3010670.0,2023,health technologists technicians
29-2010,Clinical Laboratory Technologists and Technicians,334380.0,2023,clinical laboratory technologists technicians
29-2030,Diagnostic Related Technologists and Technicians,421410.0,2023,diagnostic related technologists technicians
29-2031,Cardiovascular Technologists and Technicians,55660.0,2023,cardiovascular technologists technicians
29-2032,Diagnostic Medical Sonographers,82780.0,2023,diagnostic medical sonographers
29-2033,Nuclear Medicine Technologists,16560.0,2023,nuclear medicine technologists
29-2034,Radiologic Technologists and Technicians,221170.0,2023,radiologic technologists technicians
29-2035,Magnetic Resonance Imaging Technologists,41340.0,2023,magnetic resonance imaging technologists
29-2036,Medical Dosimetrists,3900.0,2023,medical dosimetrists
29-2040,Emergency Medical Technicians and Paramedics,265810.0,2023,emergency medical technicians paramedics
29-2042,Emergency Medical Technicians,167040.0,2023,emergency medical technicians
29-2043,Paramedics,98770.0,2023,paramedics
29-2050,Health Practitioner Support Technologists and Technicians,906180.0,2023,health practitioner support technologists technicians
29-2051,Dietetic Technicians,24240.0,2023,dietetic technicians
29-2052,Pharmacy Technicians,460280.0,2023,pharmacy technicians
29-2053,Psychiatric Technicians,115940.0,2023,psychiatric technicians
29-2055,Surgical Technologists,110320.0,2023,surgical technologists
29-2056,Veterinary Technologists and Technicians,122000.0,2023,veterinary technologists technicians
29-2057,Ophthalmic Medical Technicians,73390.0,2023,ophthalmic medical technicians
29-2060,Licensed Practical and Licensed Vocational Nurses,630250.0,2023,licensed practical licensed vocational nurses
29-2061,Licensed Practical and Licensed Vocational Nurses,630250.0,2023,licensed practical licensed vocational nurses
29-2070,Medical Records Specialists,185690.0,2023,medical records specialists
29-2072,Medical Records Specialists,185690.0,2023,medical records specialists
29-2080,"Opticians, Dispensing",76770.0,2023,opticians dispensing
29-2081,"Opticians, Dispensing",76770.0,2023,opticians dispensing
29-2090,Miscellaneous Health Technologists and Technicians,190180.0,2023,miscellaneous health technologists technicians
29-2091,Orthotists and Prosthetists,8820.0,2023,orthotists prosthetists
29-2092,Hearing Aid Specialists,10250.0,2023,hearing aid specialists
29-2099,"Health Technologists and Technicians, All Other",171110.0,2023,health technologists technicians all other
29-9000,Other Healthcare Practitioners and Technical Occupations,121640.0,2023,other healthcare practitioners technical occupations
29-9020,Health Information Technologists and Medical Registrars,34430.0,2023,health information technologists medical registrars
29-9021,Health Information Technologists and Medical Registrars,34430.0,2023,health information technologists medical registrars
29-9090,Miscellaneous Health Practitioners and Technical Workers,87210.0,2023,miscellaneous health practitioners technical workers
29-9091,Athletic Trainers,28480.0,2023,athletic trainers
29-9092,Genetic Counselors,3050.0,2023,genetic counselors
29-9093,Surgical Assistants,18780.0,2023,surgical assistants
29-9099,"Healthcare Practitioners and Technical Workers, All Other",36900.0,2023,healthcare practitioners technical workers all other
31-0000,Healthcare Support Occupations,7063530.0,2023,healthcare support occupations
31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",5122130.0,2023,home health personal care aides; nursing assistants orderlies psychiatric aides
31-1120,Home Health and Personal Care Aides,3689350.0,2023,home health personal care aides
31-1130,"Nursing Assistants, Orderlies, and Psychiatric Aides",1432790.0,2023,nursing assistants orderlies psychiatric aides
31-1131,Nursing Assistants,1351760.0,2023,nursing assistants
31-1132,Orderlies,48710.0,2023,orderlies
31-1133,Psychiatric Aides,32310.0,2023,psychiatric aides
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,196900.0,2023,occupational therapy physical therapist assistants aides
31-2010,Occupational Therapy Assistants and Aides,50520.0,2023,occupational therapy assistants aides
31-2011,Occupational Therapy Assistants,46090.0,2023,occupational therapy assistants
31-2012,Occupational Therapy Aides,4430.0,2023,occupational therapy aides
31-2020,Physical Therapist Assistants and Aides,146380.0,2023,physical therapist assistants aides
31-2021,Physical Therapist Assistants,104000.0,2023,physical therapist assistants
31-2022,Physical Therapist Aides,42390.0,2023,physical therapist aides
31-9000,Other Healthcare Support Occupations,1744490.0,2023,other healthcare support occupations
31-9010,Massage Therapists,92650.0,2023,massage therapists
31-9011,Massage Therapists,92650.0,2023,massage therapists
31-9090,Miscellaneous Healthcare Support Occupations,1651840.0,2023,miscellaneous healthcare support occupations
31-9091,Dental Assistants,370690.0,2023,dental assistants
31-9092,Medical Assistants,763040.0,2023,medical assistants
31-9093,Medical Equipment Preparers,66790.0,2023,medical equipment preparers
31-9094,Medical Transcriptionists,52420.0,2023,medical transcriptionists
31-9095,Pharmacy Aides,43830.0,2023,pharmacy aides
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,115770.0,2023,veterinary assistants laboratory animal caretakers
31-9097,Phlebotomists,137080.0,2023,phlebotomists
31-9099,"Healthcare Support Workers, All Other",102230.0,2023,healthcare support workers all other
33-0000,Protective Service Occupations,3504330.0,2023,protective service occupations
33-1000,Supervisors of Protective Service Workers,359050.0,2023,supervisors of protective service workers
33-1010,First-Line Supervisors of Law Enforcement Workers,190410.0,2023,first line supervisors of law enforcement workers
33-1011,First-Line Supervisors of Correctional Officers,52280.0,2023,first line supervisors of correctional officers
33-1012,First-Line Supervisors of Police and Detectives,138140.0,2023,first line supervisors of police detectives
33-1020,First-Line Supervisors of Firefighting and Prevention Workers,84120.0,2023,first line supervisors of firefighting prevention workers
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,84120.0,2023,first line supervisors of firefighting prevention workers
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",84510.0,2023,miscellaneous first line supervisors protective service workers
33-1091,First-Line Supervisors of Security Workers,64900.0,2023,first line supervisors of security workers
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",19620.0,2023,first line supervisors of protective service workers all other
33-2000,Firefighting and Prevention Workers,331940.0,2023,firefighting prevention workers
33-2010,Firefighters,315460.0,2023,firefighters
33-2011,Firefighters,315460.0,2023,firefighters
33-2020,Fire Inspectors,16470.0,2023,fire inspectors
33-2021,Fire Inspectors and Investigators,14200.0,2023,fire inspectors investigators
33-2022,Forest Fire Inspectors and Prevention Specialists,2270.0,2023,forest fire inspectors prevention specialists
33-3000,Law Enforcement Workers,1136430.0,2023,law enforcement workers
33-3010,"Bailiffs, Correctional Officers, and Jailers",367320.0,2023,bailiffs correctional officers jailers
33-3011,Bailiffs,15900.0,2023,bailiffs
33-3012,Correctional Officers and Jailers,351420.0,2023,correctional officers jailers
33-3020,Detectives and Criminal Investigators,106730.0,2023,detectives criminal investigators
33-3021,Detectives and Criminal Investigators,106730.0,2023,detectives criminal investigators
33-3030,Fish and Game Wardens,6290.0,2023,fish game wardens
33-3031,Fish and Game Wardens,6290.0,2023,fish game wardens
33-3040,Parking Enforcement Workers,7420.0,2023,parking enforcement workers
33-3041,Parking Enforcement Workers,7420.0,2023,parking enforcement workers
33-3050,Police Officers,648670.0,2023,police officers
33-3051,Police and Sheriff's Patrol Officers,646310.0,2023,police sheriff's patrol officers
33-3052,Transit and Railroad Police,2360.0,2023,transit railroad police
33-9000,Other Protective Service Workers,1676920.0,2023,other protective service workers
33-9010,Animal Control Workers,11600.0,2023,animal control workers
33-9011,Animal Control Workers,11600.0,2023,animal control workers
33-9020,Private Detectives and Investigators,34600.0,2023,private detectives investigators
33-9021,Private Detectives and Investigators,34600.0,2023,private detectives investigators
33-9030,Security Guards and Gambling Surveillance Officers,1213610.0,2023,security guards gambling surveillance officers
33-9031,Gambling Surveillance Officers and Gambling Investigators,10660.0,2023,gambling surveillance officers gambling investigators
33-9032,Security Guards,1202940.0,2023,security guards
33-9090,Miscellaneous Protective Service Workers,417110.0,2023,miscellaneous protective service workers
33-9091,Crossing Guards and Flaggers,90780.0,2023,crossing guards flaggers
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",123560.0,2023,lifeguards ski patrol other recreational protective service workers
33-9093,Transportation Security Screeners,47950.0,2023,transportation security screeners
33-9094,School Bus Monitors,72320.0,2023,school bus monitors
33-9099,"Protective Service Workers, All Other",82500.0,2023,protective service workers all other
35-0000,Food Preparation and Serving Related Occupations,13247870.0,2023,food preparation serving related occupations
35-1000,Supervisors of Food Preparation and Serving Workers,1348910.0,2023,supervisors of food preparation serving workers
35-1010,Supervisors of Food Preparation and Serving Workers,1348910.0,2023,supervisors of food preparation serving workers
35-1011,Chefs and Head Cooks,172370.0,2023,chefs head cooks
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1176540.0,2023,first line supervisors of food preparation serving workers
35-2000,Cooks and Food Preparation Workers,3546860.0,2023,cooks food preparation workers
35-2010,Cooks,2667250.0,2023,cooks
35-2011,"Cooks, Fast Food",673490.0,2023,cooks fast food
35-2012,"Cooks, Institution and Cafeteria",435640.0,2023,cooks institution cafeteria
35-2013,"Cooks, Private Household",740.0,2023,cooks private household
35-2014,"Cooks, Restaurant",1412350.0,2023,cooks restaurant
35-2015,"Cooks, Short Order",126370.0,2023,cooks short order
35-2019,"Cooks, All Other",18650.0,2023,cooks all other
35-2020,Food Preparation Workers,879610.0,2023,food preparation workers
35-2021,Food Preparation Workers,879610.0,2023,food preparation workers
35-3000,Food and Beverage Serving Workers,6893410.0,2023,food beverage serving workers
35-3010,Bartenders,711140.0,2023,bartenders
35-3011,Bartenders,711140.0,2023,bartenders
35-3020,Fast Food and Counter Workers,3676580.0,2023,fast food counter workers
35-3023,Fast Food and Counter Workers,3676580.0,2023,fast food counter workers
35-3030,Waiters and Waitresses,2237850.0,2023,waiters waitresses
35-3031,Waiters and Waitresses,2237850.0,2023,waiters waitresses
35-3040,"Food Servers, Nonrestaurant",267840.0,2023,food servers nonrestaurant
35-3041,"Food Servers, Nonrestaurant",267840.0,2023,food servers nonrestaurant
35-9000,Other Food Preparation and Serving Related Workers,1458690.0,2023,other food preparation serving related workers
35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,483390.0,2023,dining room cafeteria attendants bartender helpers
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,483390.0,2023,dining room cafeteria attendants bartender helpers
35-9020,Dishwashers,463940.0,2023,dishwashers
35-9021,Dishwashers,463940.0,2023,dishwashers
35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",425020.0,2023,hosts hostesses restaurant lounge coffee shop
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",425020.0,2023,hosts hostesses restaurant lounge coffee shop
35-9090,Miscellaneous Food Preparation and Serving Related Workers,86350.0,2023,miscellaneous food preparation serving related workers
35-9099,"Food Preparation and Serving Related Workers, All Other",86350.0,2023,food preparation serving related workers all other
37-0000,Building and Grounds Cleaning and Maintenance Occupations,4429070.0,2023,building grounds cleaning maintenance occupations
37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,297150.0,2023,supervisors of building grounds cleaning maintenance workers
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,297150.0,2023,first line supervisors of building grounds cleaning maintenance workers
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,171120.0,2023,first line supervisors of housekeeping janitorial workers
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",126020.0,2023,first line supervisors of landscaping lawn service groundskeeping workers
37-2000,Building Cleaning and Pest Control Workers,3116220.0,2023,building cleaning pest control workers
37-2010,Building Cleaning Workers,3022470.0,2023,building cleaning workers
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2172500.0,2023,janitors cleaners except maids housekeeping cleaners
37-2012,Maids and Housekeeping Cleaners,836230.0,2023,maids housekeeping cleaners
37-2019,"Building Cleaning Workers, All Other",13740.0,2023,building cleaning workers all other
37-2020,Pest Control Workers,93760.0,2023,pest control workers
37-2021,Pest Control Workers,93760.0,2023,pest control workers
37-3000,Grounds Maintenance Workers,1015700.0,2023,grounds maintenance workers
37-3010,Grounds Maintenance Workers,1015700.0,2023,grounds maintenance workers
37-3011,Landscaping and Groundskeeping Workers,929930.0,2023,landscaping groundskeeping workers
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",23520.0,2023,pesticide handlers sprayers applicators vegetation
37-3013,Tree Trimmers and Pruners,50270.0,2023,tree trimmers pruners
37-3019,"Grounds Maintenance Workers, All Other",11980.0,2023,grounds maintenance workers all other
39-0000,Personal Care and Service Occupations,3040630.0,2023,personal care service occupations
39-1000,Supervisors of Personal Care and Service Workers,219680.0,2023,supervisors of personal care service workers
39-1010,First-Line Supervisors of Entertainment and Recreation Workers,113230.0,2023,first line supervisors of entertainment recreation workers
39-1013,First-Line Supervisors of Gambling Services Workers,25100.0,2023,first line supervisors of gambling services workers
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",88140.0,2023,first line supervisors of entertainment recreation workers except gambling services
39-1020,First-Line Supervisors of Personal Service Workers,106440.0,2023,first line supervisors of personal service workers
39-1022,First-Line Supervisors of Personal Service Workers,106440.0,2023,first line supervisors of personal service workers
39-2000,Animal Care and Service Workers,288060.0,2023,animal care service workers
39-2010,Animal Trainers,19240.0,2023,animal trainers
39-2011,Animal Trainers,19240.0,2023,animal trainers
39-2020,Animal Caretakers,268830.0,2023,animal caretakers
39-2021,Animal Caretakers,268830.0,2023,animal caretakers
39-3000,Entertainment Attendants and Related Workers,612760.0,2023,entertainment attendants related workers
39-3010,Gambling Services Workers,102570.0,2023,gambling services workers
39-3011,Gambling Dealers,80570.0,2023,gambling dealers
39-3012,Gambling and Sports Book Writers and Runners,8700.0,2023,gambling sports book writers runners
39-3019,"Gambling Service Workers, All Other",13300.0,2023,gambling service workers all other
39-3020,Motion Picture Projectionists,2610.0,2023,motion picture projectionists
39-3021,Motion Picture Projectionists,2610.0,2023,motion picture projectionists
39-3030,"Ushers, Lobby Attendants, and Ticket Takers",117560.0,2023,ushers lobby attendants ticket takers
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",117560.0,2023,ushers lobby attendants ticket takers
39-3090,Miscellaneous Entertainment Attendants and Related Workers,390020.0,2023,miscellaneous entertainment attendants related workers
39-3091,Amusement and Recreation Attendants,361680.0,2023,amusement recreation attendants
39-3092,Costume Attendants,6300.0,2023,costume attendants
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",14720.0,2023,locker room coatroom dressing room attendants
39-3099,"Entertainment Attendants and Related Workers, All Other",7320.0,2023,entertainment attendants related workers all other
39-4000,Funeral Service Workers,63430.0,2023,funeral service workers
39-4010,Embalmers and Crematory Operators,6600.0,2023,embalmers crematory operators
39-4011,Embalmers,3380.0,2023,embalmers
39-4012,Crematory Operators,3220.0,2023,crematory operators
39-4020,Funeral Attendants,32620.0,2023,funeral attendants
39-4021,Funeral Attendants,32620.0,2023,funeral attendants
39-4030,"Morticians, Undertakers, and Funeral Arrangers",24200.0,2023,morticians undertakers funeral arrangers
39-4031,"Morticians, Undertakers, and Funeral Arrangers",24200.0,2023,morticians undertakers funeral arrangers
39-5000,Personal Appearance Workers,532400.0,2023,personal appearance workers
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",310830.0,2023,barbers hairdressers hairstylists cosmetologists
39-5011,Barbers,15990.0,2023,barbers
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",294840.0,2023,hairdressers hairstylists cosmetologists
39-5090,Miscellaneous Personal Appearance Workers,221570.0,2023,miscellaneous personal appearance workers
39-5091,"Makeup Artists, Theatrical and Performance",4130.0,2023,makeup artists theatrical performance
39-5092,Manicurists and Pedicurists,144810.0,2023,manicurists pedicurists
39-5093,Shampooers,7360.0,2023,shampooers
39-5094,Skincare Specialists,65270.0,2023,skincare specialists
39-6000,"Baggage Porters, Bellhops, and Concierges",69800.0,2023,baggage porters bellhops concierges
39-6010,"Baggage Porters, Bellhops, and Concierges",69800.0,2023,baggage porters bellhops concierges
39-6011,Baggage Porters and Bellhops,28780.0,2023,baggage porters bellhops
39-6012,Concierges,41020.0,2023,concierges
39-7000,Tour and Travel Guides,46760.0,2023,tour travel guides
39-7010,Tour and Travel Guides,46760.0,2023,tour travel guides
39-9000,Other Personal Care and Service Workers,1207740.0,2023,other personal care service workers
39-9010,Childcare Workers,497450.0,2023,childcare workers
39-9011,Childcare Workers,497450.0,2023,childcare workers
39-9030,Recreation and Fitness Workers,561200.0,2023,recreation fitness workers
39-9031,Exercise Trainers and Group Fitness Instructors,279450.0,2023,exercise trainers group fitness instructors
39-9032,Recreation Workers,281750.0,2023,recreation workers
39-9040,Residential Advisors,88700.0,2023,residential advisors
39-9041,Residential Advisors,88700.0,2023,residential advisors
39-9090,Miscellaneous Personal Care and Service Workers,60390.0,2023,miscellaneous personal care service workers
39-9099,"Personal Care and Service Workers, All Other",60390.0,2023,personal care service workers all other
41-0000,Sales and Related Occupations,13380660.0,2023,sales related occupations
41-1000,Supervisors of Sales Workers,1315030.0,2023,supervisors of sales workers
41-1010,First-Line Supervisors of Sales Workers,1315030.0,2023,first line supervisors of sales workers
41-1011,First-Line Supervisors of Retail Sales Workers,1087890.0,2023,first line supervisors of retail sales workers
41-1012,First-Line Supervisors of Non-Retail Sales Workers,227150.0,2023,first line supervisors of non retail sales workers
41-2000,Retail Sales Workers,7655030.0,2023,retail sales workers
41-2010,Cashiers,3319210.0,2023,cashiers
41-2011,Cashiers,3298660.0,2023,cashiers
41-2012,Gambling Change Persons and Booth Cashiers,20560.0,2023,gambling change persons booth cashiers
41-2020,Counter and Rental Clerks and Parts Salespersons,651070.0,2023,counter rental clerks parts salespersons
41-2021,Counter and Rental Clerks,390300.0,2023,counter rental clerks
41-2022,Parts Salespersons,260770.0,2023,parts salespersons
41-2030,Retail Salespersons,3684740.0,2023,retail salespersons
41-2031,Retail Salespersons,3684740.0,2023,retail salespersons
41-3000,"Sales Representatives, Services",2245510.0,2023,sales representatives services
41-3010,Advertising Sales Agents,108100.0,2023,advertising sales agents
41-3011,Advertising Sales Agents,108100.0,2023,advertising sales agents
41-3020,Insurance Sales Agents,457510.0,2023,insurance sales agents
41-3021,Insurance Sales Agents,457510.0,2023,insurance sales agents
41-3030,"Securities, Commodities, and Financial Services Sales Agents",479630.0,2023,securities commodities financial services sales agents
41-3031,"Securities, Commodities, and Financial Services Sales Agents",479630.0,2023,securities commodities financial services sales agents
41-3040,Travel Agents,58250.0,2023,travel agents
41-3041,Travel Agents,58250.0,2023,travel agents
41-3090,"Miscellaneous Sales Representatives, Services",1142020.0,2023,miscellaneous sales representatives services
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1142020.0,2023,sales representatives of services except advertising insurance financial services travel
41-4000,"Sales Representatives, Wholesale and Manufacturing",1600700.0,2023,sales representatives wholesale manufacturing
41-4010,"Sales Representatives, Wholesale and Manufacturing",1600700.0,2023,sales representatives wholesale manufacturing
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",311780.0,2023,sales representatives wholesale manufacturing technical scientific products
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1288920.0,2023,sales representatives wholesale manufacturing except technical scientific products
41-9000,Other Sales and Related Workers,564380.0,2023,other sales related workers
41-9010,"Models, Demonstrators, and Product Promoters",53880.0,2023,models demonstrators product promoters
41-9011,Demonstrators and Product Promoters,50790.0,2023,demonstrators product promoters
41-9012,Models,3090.0,2023,models
41-9020,Real Estate Brokers and Sales Agents,249080.0,2023,real estate brokers sales agents
41-9021,Real Estate Brokers,51350.0,2023,real estate brokers
41-9022,Real Estate Sales Agents,197720.0,2023,real estate sales agents
41-9030,Sales Engineers,59340.0,2023,sales engineers
41-9031,Sales Engineers,59340.0,2023,sales engineers
41-9040,Telemarketers,81580.0,2023,telemarketers
41-9041,Telemarketers,81580.0,2023,telemarketers
41-9090,Miscellaneous Sales and Related Workers,120500.0,2023,miscellaneous sales related workers
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",6220.0,2023,door to door sales workers news street vendors related workers
41-9099,"Sales and Related Workers, All Other",114280.0,2023,sales related workers all other
43-0000,Office and Administrative Support Occupations,18533450.0,2023,office administrative support occupations
43-1000,Supervisors of Office and Administrative Support Workers,1504570.0,2023,supervisors of office administrative support workers
43-1010,First-Line Supervisors of Office and Administrative Support Workers,1504570.0,2023,first line supervisors of office administrative support workers
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1504570.0,2023,first line supervisors of office administrative support workers
43-2000,Communications Equipment Operators,49810.0,2023,communications equipment operators
43-2010,"Switchboard Operators, Including Answering Service",43830.0,2023,switchboard operators including answering service
43-2011,"Switchboard Operators, Including Answering Service",43830.0,2023,switchboard operators including answering service
43-2020,Telephone Operators,4600.0,2023,telephone operators
43-2021,Telephone Operators,4600.0,2023,telephone operators
