occupation_code,occupation_name,employment,year,occ_clean
17-2072,"Electronics Engineers, Except Computer",96410.0,2023,electronics engineers except computer
17-2080,Environmental Engineers,39880.0,2023,environmental engineers
17-2081,Environmental Engineers,39880.0,2023,environmental engineers
17-2110,"Industrial Engineers, Including Health and Safety",355380.0,2023,industrial engineers including health safety
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",22510.0,2023,health safety engineers except mining safety engineers inspectors
17-2112,Industrial Engineers,332870.0,2023,industrial engineers
17-2120,Marine Engineers and Naval Architects,9960.0,2023,marine engineers naval architects
17-2121,Marine Engineers and Naval Architects,9960.0,2023,marine engineers naval architects
17-2130,Materials Engineers,24630.0,2023,materials engineers
17-2131,Materials Engineers,24630.0,2023,materials engineers
17-2140,Mechanical Engineers,281290.0,2023,mechanical engineers
17-2141,Mechanical Engineers,281290.0,2023,mechanical engineers
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",7040.0,2023,mining geological engineers including mining safety engineers
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",7040.0,2023,mining geological engineers including mining safety engineers
17-2160,Nuclear Engineers,12710.0,2023,nuclear engineers
17-2161,Nuclear Engineers,12710.0,2023,nuclear engineers
17-2170,Petroleum Engineers,20390.0,2023,petroleum engineers
17-2171,Petroleum Engineers,20390.0,2023,petroleum engineers
17-2190,Miscellaneous Engineers,150990.0,2023,miscellaneous engineers
17-2199,"Engineers, All Other",150990.0,2023,engineers all other
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",641350.0,2023,drafters engineering technicians mapping technicians
17-3010,Drafters,193180.0,2023,drafters
17-3011,Architectural and Civil Drafters,111070.0,2023,architectural civil drafters
17-3012,Electrical and Electronics Drafters,20680.0,2023,electrical electronics drafters
17-3013,Mechanical Drafters,44850.0,2023,mechanical drafters
17-3019,"Drafters, All Other",16580.0,2023,drafters all other
17-3020,"Engineering Technologists and Technicians, Except Drafters",392120.0,2023,engineering technologists technicians except drafters
17-3021,Aerospace Engineering and Operations Technologists and Technicians,10640.0,2023,aerospace engineering operations technologists technicians
17-3022,Civil Engineering Technologists and Technicians,63560.0,2023,civil engineering technologists technicians
17-3023,Electrical and Electronic Engineering Technologists and Technicians,97420.0,2023,electrical electronic engineering technologists technicians
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,15360.0,2023,electro mechanical mechatronics technologists technicians
17-3025,Environmental Engineering Technologists and Technicians,13780.0,2023,environmental engineering technologists technicians
17-3026,Industrial Engineering Technologists and Technicians,73020.0,2023,industrial engineering technologists technicians
17-3027,Mechanical Engineering Technologists and Technicians,38930.0,2023,mechanical engineering technologists technicians
17-3028,Calibration Technologists and Technicians,13220.0,2023,calibration technologists technicians
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",66200.0,2023,engineering technologists technicians except drafters all other
17-3030,Surveying and Mapping Technicians,56050.0,2023,surveying mapping technicians
17-3031,Surveying and Mapping Technicians,56050.0,2023,surveying mapping technicians
19-0000,"Life, Physical, and Social Science Occupations",1389430.0,2023,life physical social science occupations
19-1000,Life Scientists,352000.0,2023,life scientists
19-1010,Agricultural and Food Scientists,32360.0,2023,agricultural food scientists
19-1011,Animal Scientists,2460.0,2023,animal scientists
19-1012,Food Scientists and Technologists,14100.0,2023,food scientists technologists
19-1013,Soil and Plant Scientists,15800.0,2023,soil plant scientists
19-1020,Biological Scientists,133050.0,2023,biological scientists
19-1021,Biochemists and Biophysicists,33180.0,2023,biochemists biophysicists
19-1022,Microbiologists,21540.0,2023,microbiologists
19-1023,Zoologists and Wildlife Biologists,17100.0,2023,zoologists wildlife biologists
19-1029,"Biological Scientists, All Other",61220.0,2023,biological scientists all other
19-1030,Conservation Scientists and Foresters,32240.0,2023,conservation scientists foresters
19-1031,Conservation Scientists,22790.0,2023,conservation scientists
19-1032,Foresters,9450.0,2023,foresters
19-1040,Medical Scientists,146850.0,2023,medical scientists
19-1041,Epidemiologists,10230.0,2023,epidemiologists
19-1042,"Medical Scientists, Except Epidemiologists",136620.0,2023,medical scientists except epidemiologists
19-1090,Miscellaneous Life Scientists,7490.0,2023,miscellaneous life scientists
19-1099,"Life Scientists, All Other",7490.0,2023,life scientists all other
19-2000,Physical Scientists,254410.0,2023,physical scientists
19-2010,Astronomers and Physicists,20430.0,2023,astronomers physicists
19-2011,Astronomers,2080.0,2023,astronomers
19-2012,Physicists,18350.0,2023,physicists
19-2020,Atmospheric and Space Scientists,9310.0,2023,atmospheric space scientists
19-2021,Atmospheric and Space Scientists,9310.0,2023,atmospheric space scientists
19-2030,Chemists and Materials Scientists,92350.0,2023,chemists materials scientists
19-2031,Chemists,83530.0,2023,chemists
19-2032,Materials Scientists,8810.0,2023,materials scientists
19-2040,Environmental Scientists and Geoscientists,111500.0,2023,environmental scientists geoscientists
19-2041,"Environmental Scientists and Specialists, Including Health",80730.0,2023,environmental scientists specialists including health
19-2042,"Geoscientists, Except Hydrologists and Geographers",24620.0,2023,geoscientists except hydrologists geographers
19-2043,Hydrologists,6150.0,2023,hydrologists
19-2090,Miscellaneous Physical Scientists,20820.0,2023,miscellaneous physical scientists
19-2099,"Physical Scientists, All Other",20820.0,2023,physical scientists all other
19-3000,Social Scientists and Related Workers,273230.0,2023,social scientists related workers
19-3010,Economists,16420.0,2023,economists
19-3011,Economists,16420.0,2023,economists
19-3020,Survey Researchers,8190.0,2023,survey researchers
19-3022,Survey Researchers,8190.0,2023,survey researchers
19-3030,Psychologists,150030.0,2023,psychologists
19-3032,Industrial-Organizational Psychologists,1030.0,2023,industrial organizational psychologists
19-3033,Clinical and Counseling Psychologists,71730.0,2023,clinical counseling psychologists
