occupation_name_bls,bls_outlook,bls_url
Cue Selector,,https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm
Curriculum and Assessment Director,Slower than average,https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm
Deep Tissue Massage Therapist,Faster than average,https://www.bls.gov/ooh/healthcare/massage-therapists.htm
Deli Clerk,,https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm
Dental hygienists,Faster than average,https://www.bls.gov/ooh/healthcare/dental-hygienists.htm
Dental Surgeon,,https://www.bls.gov/ooh/healthcare/dentists.htm
Derrick Operator,Slower than average,https://www.bls.gov/ooh/construction-and-extraction/oil-and-gas-workers.htm
Design Project Management Specialists,Faster than average,https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm
Desktop publishers,,https://www.bls.gov/ooh/office-and-administrative-support/desktop-publishers.htm
Developmental Psychologist,Faster than average,https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm
Diamond Grader,,https://www.bls.gov/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm
Digital Designer,Faster than average,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm
Director of Civil Defense,,https://www.bls.gov/ooh/management/emergency-management-directors.htm
District Sales Manager,Faster than average,https://www.bls.gov/ooh/management/sales-managers.htm
Doctor of Optometry,Faster than average,https://www.bls.gov/ooh/healthcare/optometrists.htm
E-Learning Manager,Faster than average,https://www.bls.gov/ooh/management/training-and-development-managers.htm
Early Childhood Special Education Teacher,,https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm
Early Childhood Teacher,,https://www.bls.gov/ooh/education-training-and-library/preschool-teachers.htm
Ecological Modeler,,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm
Efficiency Engineer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm
Electo-Mechanical and Mechatronics Technologist,Slower than average,https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm
Electrical and Electronic Engineering Technologist,Slower than average,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm
Electrical High Tension Tester,Faster than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/line-installers-and-repairers.htm
Electrolysis Needle Operator,Faster than average,https://www.bls.gov/ooh/personal-care-and-service/skincare-specialists.htm
"Elementary, middle, and high school principals",,https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm
Elevator Adjuster,Faster than average,https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm
Employee Relations Manager,Faster than average,https://www.bls.gov/ooh/management/human-resources-managers.htm
Employee Relations Specialist,Little or no change,https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm
Environmental Communications Specialist,Faster than average,https://www.bls.gov/ooh/media-and-communication/public-relations-specialists.htm
Estate Appraiser,,https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm
Exterminator,Faster than average,https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm
Fingernail Sculptor,Faster than average,https://www.bls.gov/ooh/personal-care-and-service/manicurists-and-pedicurists.htm
Fire Engine Pump Operator,,https://www.bls.gov/ooh/protective-service/firefighters.htm
Fire Prevention Engineer,,https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm
Fire Sprinkler Installer,,https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm
Forest and conservation workers,,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm
Genealogist,Slower than average,https://www.bls.gov/ooh/life-physical-and-social-science/historians.htm
Geophysical Engineer,Slower than average,https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm
Glaziers,,https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm
Golf Course Architect,,https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm
Government Affairs Researcher,,https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm
Graphic Artist,Slower than average,https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm
Gyroscopic Engineering Technician,Little or no change,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm
Health Information Coder,Faster than average,https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm
Health Insurance Sales Agent,,https://www.bls.gov/ooh/sales/insurance-sales-agents.htm
High School Algebra Teacher,,https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm
Hydroelectric Plant Operator,,https://www.bls.gov/ooh/production/power-plant-operators-distributors-and-dispatchers.htm
Hydrogeologist,Little or no change,https://www.bls.gov/ooh/life-physical-and-social-science/hydrologists.htm
Industrial Engineering Technician,Slower than average,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineering-technicians.htm
Industrial Production Manager,Slower than average,https://www.bls.gov/ooh/management/industrial-production-managers.htm
Industrial Waste Treatment Technician,,https://www.bls.gov/ooh/production/water-and-wastewater-treatment-plant-and-system-operators.htm
Intermediate School Social Studies Teacher,,https://www.bls.gov/ooh/education-training-and-library/middle-school-teachers.htm
Laboratory Animal Caretaker,Faster than average,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm
LAN Administrator,,https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm
Language Pathologist,Faster than average,https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm
Licensed practical and licensed vocational nurses,,https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm
Logistician,Faster than average,https://www.bls.gov/ooh/business-and-financial/logisticians.htm
Marine Architect,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm
Military careers,,https://www.bls.gov/ooh/military/military-careers.htm
Natural Gas Engineer,Slower than average,https://www.bls.gov/ooh/architecture-and-engineering/petroleum-engineers.htm
Nuclear Monitoring Technician,,https://www.bls.gov/ooh/life-physical-and-social-science/nuclear-technicians.htm
Occupational Therapist,Faster than average,https://www.bls.gov/ooh/healthcare/occupational-therapists.htm
Operations Analyst,Faster than average,https://www.bls.gov/ooh/math/operations-research-analysts.htm
Photovoltaic (PV) Installation Technician,Faster than average,https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm
Pollster,,https://www.bls.gov/ooh/life-physical-and-social-science/survey-researchers.htm
Radiation therapists,Slower than average,https://www.bls.gov/ooh/healthcare/radiation-therapists.htm
Scenic Designer,Slower than average,https://www.bls.gov/ooh/arts-and-design/set-and-exhibit-designers.htm
Wind Energy Mechanic,Faster than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm
