occupation_name_bls,bls_outlook,bls_url
Air Conditioning Sheet Metal Installer,Slower than average,https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm
Aircraft Cleaner,,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm
Aircraft Painter,Slower than average,https://www.bls.gov/ooh/production/painting-and-coating-workers.htm
Airline Flight Attendant,Faster than average,https://www.bls.gov/ooh/transportation-and-material-moving/flight-attendants.htm
Air Pollution Compliance Inspector,,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm
Air Pollution Control Engineer,,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm
Airport Apron Bus Driver,Faster than average,https://www.bls.gov/ooh/transportation-and-material-moving/taxi-drivers-and-chauffeurs.htm
Airport Manager,Faster than average,https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm
Airport Tower Controller,Slower than average,https://www.bls.gov/ooh/transportation-and-material-moving/air-traffic-controllers.htm
Air Quality Technician,,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm
Airset Caster,,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm
Algebraist,Faster than average,https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm
Algebra Tutor,Slower than average,https://www.bls.gov/ooh/education-training-and-library/tutors.htm
Alligator Hunter,,https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm
All Terrain Vehicle Technician,,https://www.bls.gov/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm
Almond Paste Mixer,Faster than average,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm
Alternative Dispute Resolution Coordinator,,https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm
Aluminum Welder,Slower than average,https://www.bls.gov/ooh/production/welders-cutters-solderers-and-brazers.htm
Ambulance Driver-Paramedic,Faster than average,https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm
American Board Certified Orthotist,Faster than average,https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm
American Sign Language Interpreter,Slower than average,https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm
Ampoule Examiner,Little or no change,https://www.bls.gov/ooh/production/quality-control-inspectors.htm
Amusement Park Manager,Faster than average,https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm
Anesthesiologist Assistant,Faster than average,https://www.bls.gov/ooh/healthcare/physician-assistants.htm
Angle Dozer Operator,,https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm
Animal care and service workers,Faster than average,https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
Animal Pathologist,Faster than average,https://www.bls.gov/ooh/healthcare/veterinarians.htm
Announcers and DJs,,https://www.bls.gov/ooh/media-and-communication/announcers.htm
Antenna Engineer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm
Anthropologist,,https://www.bls.gov/ooh/life-physical-and-social-science/anthropologists-and-archeologists.htm
Apartment Manager,,https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm
Apothecary,Faster than average,https://www.bls.gov/ooh/healthcare/pharmacists.htm
Apparel Designer,Slower than average,https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm
Appliance Parts Counter Clerk,Little or no change,https://www.bls.gov/ooh/sales/retail-sales-workers.htm
Application Development Director,Faster than average,https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm
Application Integration Engineer,Faster than average,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm
Applications Analyst,Faster than average,https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm
Applications Programmer,,https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm
Applied Exercise Physiologist,Faster than average,https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm
Appointment Clerk,Little or no change,https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm
Aquatic Biologist,Slower than average,https://www.bls.gov/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm
Arch-Support Maker,,https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm
Architects,,https://www.bls.gov/ooh/architecture-and-engineering/architects.htm
Architectural and engineering managers,,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm
Architectural Drafting Instructor,,https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm
Architectural Engineer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm
Architectural Inspector,,https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm
"Archivists, curators, and museum workers",Faster than average,https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm
Armed Guard,Little or no change,https://www.bls.gov/ooh/protective-service/security-guards.htm
Arson Investigator,Faster than average,https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm
Art directors,,https://www.bls.gov/ooh/arts-and-design/art-directors.htm
Artist's Model,,https://www.bls.gov/ooh/sales/models.htm
Asbestos Abatement Worker,Slower than average,https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm
Ash Conveyor Operator,Slower than average,https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm
Assayer,,https://www.bls.gov/ooh/life-physical-and-social-science/chemical-technicians.htm
Assembly Instructions Writer,Slower than average,https://www.bls.gov/ooh/media-and-communication/technical-writers.htm
Assistant Paralegal,Little or no change,https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm
Astrophysicist,,https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm
Athletes and sports competitors,Faster than average,https://www.bls.gov/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm
Athletic Coach,Faster than average,https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm
Athletic Events Scorer,Faster than average,https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm
Athletic trainers,Faster than average,https://www.bls.gov/ooh/healthcare/athletic-trainers.htm
Atmospheric Chemist,Slower than average,https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm
Atomic Process Engineer,,https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm
Audio-Visual Production Specialist,Slower than average,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm
Audiologists,Faster than average,https://www.bls.gov/ooh/healthcare/audiologists.htm
Au Pair,,https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm
Auto Body Customizer,Slower than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm
Auto Carrier Driver,,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm
Auto Clutch Rebuilder,,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-service-technicians-and-mechanics.htm
Auto Damage Appraiser,,https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm
Automatic Data Processing Planner,,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm
Automobile and Property Underwriter,,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm
Automobile Designer,,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm
Automotive Machinist,,https://www.bls.gov/ooh/production/machinists-and-tool-and-die-makers.htm
Automotive Sheet Metal Engineer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm
Autopsy Assistant,Faster than average,https://www.bls.gov/ooh/healthcare/medical-assistants.htm
Auto Research Engineer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm
Auto Travel Counselor,Slower than average,https://www.bls.gov/ooh/sales/travel-agents.htm
Backup Sawyer,,https://www.bls.gov/ooh/production/woodworkers.htm
Bacteriologist,,https://www.bls.gov/ooh/life-physical-and-social-science/microbiologists.htm
Bacteriology Technician,,https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm
Bagel Maker,Faster than average,https://www.bls.gov/ooh/production/bakers.htm
Bag Machine Adjuster,Faster than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm
Ballerina,Faster than average,https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm
Ballistician,Faster than average,https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm
Bank Branch Manager,Faster than average,https://www.bls.gov/ooh/management/financial-managers.htm
Bank Compliance Officer,Faster than average,https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm
Banking Services Clerk,,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
Bank Teller,,https://www.bls.gov/ooh/office-and-administrative-support/tellers.htm
Banquet Chef,Faster than average,https://www.bls.gov/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm
Banquet Cook,Faster than average,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm
Banquet Director,Faster than average,https://www.bls.gov/ooh/management/food-service-managers.htm
Banquet Set Up Person,Faster than average,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
Barber Apprentice,Faster than average,https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm
Barkeep,Faster than average,https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm
Beam Builder,,https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm
Bean Weigher,,https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm
Bed and Breakfast Innkeeper,,https://www.bls.gov/ooh/management/lodging-managers.htm
Behavioral Health Technician,Faster than average,https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm
Benefits Analyst,Faster than average,https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm
Bio-Mechanical Engineer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm
Biochemist,Faster than average,https://www.bls.gov/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm
Biochemistry Technologist,Slower than average,https://www.bls.gov/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm
Biodiesel Engine Specialist,Slower than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm
Biogeographer,,https://www.bls.gov/ooh/life-physical-and-social-science/geographers.htm
Biomedical Electronics Technician,Faster than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm
Blind Aide,Faster than average,https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm
Bobtailer,Faster than average,https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm
Boiler Coverer,,https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm
Boiler Engineer,Slower than average,https://www.bls.gov/ooh/production/stationary-engineers-and-boiler-operators.htm
Boiler Fitter,,https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm
Book Critic,,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm
Book Illustrator,Little or no change,https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm
Book Sorter,,https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm
Border Guard,,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm
Bottling Equipment Sales Representative,Slower than average,https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm
Branch Lending Officer,Slower than average,https://www.bls.gov/ooh/business-and-financial/loan-officers.htm
Bridge Ironworker,,https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm
Bridge Painter,,https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm
Broadcast Producer,Faster than average,https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm
Budget Analyst,Slower than average,https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm
